BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
3325	5	45.5	43.6		36.4
3325	6	71.7	81.1		
2007	3				
2007	5				
3214	3				
3214	4				
3214	5				
3214	6				
3214	7				
3214	8				
3214	10				
2241	7	66.7	44.4	40.7	
2241	8	69.2	53.8		61.5
2241	10	96.3		96.3	
3087	3	88.9	77.8		
3087	4	76	52	84	
3087	5	71	61.3		61.3
3087	6	90	80		
4222	3	39.2	47.1		
4222	4	38.3	31.9	23.4	
4222	5	50	67.3		44.2
4254	8				
4254	10	74		78	
4490	3	28	42.7		
4490	4	45.8	41.7	20.8	
4490	5	40.4	50		19.2
2510	7	48.6	41.1	47.5	
2510	8	53.8	37.9		53
2919	3	52.4	56.6		
2919	4				
3088	8				
3088	10	65.1		72.4	
3426	3	42.1	42.1		
3426	4	64.3	35.7	42.9	
4536	4	52	48.6	52.3	
4536	5	43.8	47.3		34
4536	6	51.4	58.2		
2792	3	57.6	51.5		
2792	4	54.3	40.8	42.9	
2792	5	60.8	60.8		47.3
3273	8				
3273	10	64.8		80.9	
3909	6	42.2	32.5		
3909	7	45.6	42.7	58.4	
3909	8	56.6	55.4		54.2
2693	3	57.1	35.7		
2693	4	75	58.3	58.3	
2693	5	85	55		60
2968	10	92		88	
1518	10				
2694	3	50	25		
2694	4	51.7	37.9	58.6	
2694	5	45.9	40.5		16.2
3089	6	54.2	45.8		
3089	7	65	53.8	48.7	
3089	8	38.2	28.6		22.9
3089	10	58.3		66.7	
3090	3	38	45.8		
3090	4	59.5	57.4	38.8	
3090	5	52.8	51.2		39.2
3516	10	78.3		88	
3620	6	44.6	43.4		
3620	7	46.5	40.2	50.4	
3620	8	65.6	48.4		83.3
2673	6	66.3	51.9		
2673	7	59.8	45.1	78.7	
2673	8	65.8	58.1		68
2832	3	74.5	63.8		
2832	4	69.8	58.7	47.6	
2832	5	53	40.9		42.4
2833	3	45.3	43.4		
2833	4	69.6	39.3	51.8	
2833	5	70.8	58.3		54.2
2969	3	65.2	54.4		
2969	4	68.8	42.9	63.6	
2969	5	69.7	50		47.4
2970	3	59.6	42.6		
2970	4	63.6	38.2	41.2	
2970	5	51.4	31.4		31.4
3021	3	65.4	67.3		
3021	4	64	56	56	
3021	5	59.7	41.9		67.7
3022	6	74.4	55.7		
