,School_ID,School District,School,Enrollment,LowSES
,1737,Bremerton School District,Renaissance Alternative High School,138,79.34
,1972,Highline School District,New Start,138,85.51
,4287,Arlington School District,Weston High School,138,52.42
,1800,Lake Washington School District,Environmental & Adventure School,139,1.45
,2712,Waitsburg School District,Waitsburg Elementary School,139,55.4
,1935,Bainbridge Island School District,Eagle Harbor High School,140,10.07
,2913,Kelso School District,Carrolls Elementary,140,41.48
,5171,Granite Falls School District,Crossroads High School,140,59.44
,2594,Cape Flattery School District,Neah Bay Elementary School,141,65.28
,2808,Eatonville School District,Columbia Crest Elementary School,141,52.14
,5032,Taholah School District,Taholah Elementary & Middle School,141,79.86
,3800,Stevenson-Carson School District,Wind River Middle School,142,56.74
,5286,Manson School District,Manson Middle School,142,83.8
,1530,Evergreen School District (Clark),Early Childhood Center,143,37.14
,2001,Richland School District,Special Programs,143,33.16
,2922,Oakville School District,Oakville Elementary,143,71.74
,3416,Liberty School District,Liberty High School,144,43.57
,5116,Highline School District,Career Link,144,24.18
,1983,Lynden School District,Lynden Academy,145,1.27
,2396,Pateros School District,Pateros Elementary,145,76.22
,3900,La Conner School District,La Conner Middle,145,47.86
,2487,Olympia School District,Boston Harbor Elementary,146,17.22
,2494,Nespelem School District,Nespelem Elementary,146,82.64
,3375,Wishkah Valley School District,Wishkah Valley Elementary/High School,146,57.14
,1617,Clarkston School District,Educational Opportunity Center,147,59.88
